Treatment_1,Treatment_2,Treatment_3,Treatment_4
6.345,10.215,14.11,18.591
6.013,9.534,13.751,18.104
6.424,10.358,13.603,17.849
6.882,9.831,14.256,18.107
5.963,9.998,14.469,16.731
5.963,9.83,14.418,17.901
6.911,11.156,13.521,18.283
6.487,10.148,13.79,19.025
5.84,9.584,14.114,17.704
6.369,10.6,14.44,17.511
5.843,9.496,13.704,17.714
5.842,10.268,13.852,18.653
6.212,9.097,13.386,18.264
5.085,9.438,13.34,17.696
5.184,10.262,14.358,18.387
5.792,10.554,14.633,18.111
5.556,10.248,13.91,18.688
6.25,10.093,14.455,17.582
5.611,9.993,14.129,17.83
5.347,9.357,13.619,17.787
6.852,9.766,14.129,17.078
5.967,9.906,14.725,18.243
6.121,10.726,13.928,18.22
5.341,10.341,14.739,18.05
5.801,9.203,12.619,17.891
